family_id,role,id,text,family_code,anchor,variant,variant_IPA,diff_from_anchor,layer,boundary_expected,place_change,manner_change,strength_change,voicing_change,height_change,backness_change,rounding_change,glide_change,onset,coda,syllable_change,tensification,liquidization,cluster_restructuring,vowel_adaptation,rule_licensed,notes
f02,anchor,a1,모레토니,f02,모레토니,모레토니,mo.ɾe.tʰo.ni,(anchor),anchor,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"pseudo — 4음절 CV, 더/르크루제 계열 low constraint"
f02,variant,v1,무레토니,f02,모레토니,무레토니,mu.ɾe.tʰo.ni,mo→mu,L1,안쪽,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,1음절 o→u height+rounding
f02,variant,v2,모리토니,f02,모레토니,모리토니,mo.ɾi.tʰo.ni,ɾe→ɾi,L1,안쪽,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2음절 e→i height
f02,variant,v3,모레도니,f02,모레토니,모레도니,mo.ɾe.to.ni,tʰo→to,L1,안쪽,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3음절 tʰ→t strength
f02,variant,v4,모레트니,f02,모레토니,모레트니,mo.ɾe.tʰɯ.ni,tʰo→tʰɯ,L2,안쪽,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,3음절 o→ɯ 모음 축약
f02,variant,v5,모레토늬,f02,모레토니,모레토늬,mo.ɾe.tʰo.nɰi,ni→nɰi,L2,안쪽,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,4음절 glide 삽입
f02,variant,v6,모레또니,f02,모레토니,모레또니,mo.ɾe.t͈o.ni,tʰo→t͈o,L3,안쪽,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3음절 경음화 tʰ→t͈
f02,variant,v7,모레이토니,f02,모레토니,모레이토니,mo.ɾe.i.tʰo.ni,ɾe→ɾe.i,L2,안쪽,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,2음절 glide/모음 삽입 (음절추가)
f02,variant,v8,무뤼또늬,f02,모레토니,무뤼또늬,mu.ɾɥi.t͈o.nɰi,다중,L1+L3,바깥,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,변수 누적 — 경계 바깥
f02,variant,v9,모레토피,f02,모레토니,모레토피,mo.ɾe.tʰo.pʰi,ni→pʰi,L1 극단,바깥,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,4음절 n→pʰ place+manner+voicing — 경계 바깥
